chr1,12449152,12449215	
chr1,12449152,12449215	
chr1,149425684,149425755	
chr1,149425684,149425755	
chr1,170411150,170411194	
chr1,170411150,170411194	
chr1,182651245,182651298	
chr1,182651245,182651298	
chr2,103429577,103429620	
chr2,103429577,103429620	
chr2,165969857,165969901	
chr2,165969857,165969901	
chr2,178889202,178889252	
chr2,178889202,178889252	
chr3,103083058,103083100	
chr3,103083058,103083100	
chr3,169979622,169979699	
chr3,169979622,169979699	
chr4,171979720,171979761	
chr4,171979720,171979761	
chr4,187753970,187754011	
chr4,187753970,187754011	
chr5,15752164,15752210	
chr5,15752164,15752210	
chr5,84427465,84427506	
chr5,84427465,84427506	
chr5,85792514,85792556	
chr5,85792514,85792556	
chr5,133805225,133805266	
chr5,133805225,133805266	
chr6,1906231,1906272	
chr6,1906231,1906272	
chr7,6055002,6055042	
chr7,6055002,6055042	
chr7,86669122,86669163	
chr7,86669122,86669163	
chr7,137134453,137134518	
chr7,137134453,137134518	
chr8,11862873,11862914	
chr8,11862873,11862914	
chr9,22878469,22878511	
chr9,22878469,22878511	
chr9,35691089,35691130	
chr9,35691089,35691130	
chr10,54986745,54986786	
chr10,54986745,54986786	
chr11,26313929,26313994	
chr11,26313929,26313994	
chr11,109344314,109344355	
chr11,109344314,109344355	
chr12,80069217,80069258	
chr12,80069217,80069258	
chr13,47532117,47532163	
chr13,47532117,47532163	
chr14,37422943,37422994	
chr14,37422943,37422994	
chr15,95242539,95242601	
chr15,95242539,95242601	
chr16,26558574,26558615	
chr16,26558574,26558615	
chr17,68374352,68374393	
chr17,68374352,68374393	
chr18,33660178,33660232	
chr18,33660178,33660232	
chr18,58409040,58409081	
chr18,58409040,58409081	
chr19,28970857,28970898	
chr19,28970857,28970898	
chrX,29219491,29219532	
chrX,29219491,29219532	
chrX,80772882,80772923	
chrX,80772882,80772923	
chrX,88841935,88841976	
chrX,88841935,88841976	
chrX,142558718,142558759	
chrX,142558718,142558759	
chr1,1039003,1039043	
chr1,1857980,1858020	
chr1,2137104,2137144	
chr1,3598381,3598421	
chr1,4003642,4003682	
chr1,4094040,4094080	
chr1,4521220,4521260	
chr1,4541088,4541128	
chr1,4713658,4713698	
chr1,5034666,5034706	
chr1,5906856,5906896	
chr1,5907322,5907362	
chr1,7817573,7817613	
chr1,8699028,8699068	
chr1,11319178,11319218	
chr1,11429248,11429288	
chr1,12287163,12287203	
chr1,12447124,12447164	
chr1,12448933,12448973	
chr1,12450292,12450332	
chr1,14252747,14252787	
chr1,17287539,17287579	
chr1,19324437,19324477	
chr1,21708063,21708103	
chr1,22996950,22996990	
chr1,23561873,23561913	
chr1,24329944,24329984	
chr1,24685521,24685561	
chr1,24708728,24708768	
chr1,25360633,25360673	
chr1,25911303,25911343	
chr1,26158286,26158326	
chr1,28194688,28194728	
chr1,30932973,30933013	
chr1,33697571,33697611	
chr1,33856282,33856322	
